proteins,NaN_prop_samples_with_targets,NaN_prop_all_samples,target,NaN_control,targeting_pert_ids
A0A024RBG1,0.038461538461538464,0.031914893617021274,False,False,
A0A096LP01,0.038461538461538464,0.05319148936170213,False,False,
A0A0B4J2D5,0.0,0.0,False,False,
A0A0B4J2F0,0.8205128205128205,0.8297872340425532,False,True,
A0A0U1RRL7,0.9487179487179487,0.9574468085106383,False,True,
A0AV96,0.0,0.0,False,False,
A0AVF1,0.01282051282051282,0.02127659574468085,False,False,
A0AVT1,0.0,0.0,False,False,
A0FGR8,0.0,0.0,False,False,
A0JLT2,0.07692307692307693,0.06382978723404255,False,False,
A0JNW5,0.0,0.0,False,False,
A0MZ66,0.0,0.0,False,False,
A0PJW6,0.038461538461538464,0.05319148936170213,False,False,
A1A4S6,0.0,0.0,False,False,
A1L020,0.0,0.010638297872340425,False,False,
A1L0T0,0.0,0.0,False,False,
A1L188,0.02564102564102564,0.031914893617021274,False,False,
A1L390,0.0,0.0,False,False,
A1L4K1,0.782051282051282,0.776595744680851,False,True,
A1X283,0.0,0.0,False,False,
A1XBS5,0.0,0.010638297872340425,False,False,
A2AJT9,0.9615384615384616,0.9574468085106383,False,True,
A2RRP1,0.0,0.0,False,False,
A2RTX5,0.01282051282051282,0.02127659574468085,False,False,
A2RU67,0.23076923076923078,0.24468085106382978,False,True,
A2RUC4,0.0,0.0,False,False,
A3KMH1,0.0,0.0,False,False,
A3KN83,0.0,0.0,False,False,
A4D1E9,0.0,0.0,False,False,
A4D1P6,0.0,0.0,False,False,
A4D1S5,0.6794871794871795,0.6808510638297872,False,True,
A4D1U4,0.038461538461538464,0.0425531914893617,False,False,
A4D2B0,0.1794871794871795,0.1702127659574468,False,False,
A5A3E0,0.11538461538461539,0.13829787234042554,False,True,
A5D8V6,0.01282051282051282,0.010638297872340425,False,False,
A5D8W1,0.5897435897435898,0.5851063829787234,False,True,
A5PLN9,0.07692307692307693,0.0851063829787234,False,False,
A5YKK6,0.0,0.0,False,False,
A6NCE7,0.01282051282051282,0.010638297872340425,False,False,
A6ND36,0.0,0.0,False,False,
A6NDG6,0.0,0.0,False,False,
A6NDU8,0.02564102564102564,0.02127659574468085,False,False,
A6NED2,0.01282051282051282,0.031914893617021274,False,False,
A6NFI3,0.7435897435897436,0.723404255319149,False,True,
A6NFQ2,0.9102564102564102,0.9148936170212766,False,True,
A6NGB9,0.038461538461538464,0.0425531914893617,False,False,
A6NHL2,0.01282051282051282,0.031914893617021274,False,False,
A6NHR9,0.0,0.0,False,False,
A6NHX0,0.02564102564102564,0.02127659574468085,False,False,
A6NIH7,0.0,0.0,False,False,
A6NJ78,0.01282051282051282,0.02127659574468085,False,False,
A6NKD9,0.0,0.0,False,False,
A6NKF1,0.07692307692307693,0.09574468085106383,False,False,
A6NKT7,0.01282051282051282,0.02127659574468085,False,False,
A6NLP5,0.9615384615384616,0.9574468085106383,False,True,
A6NMY6,0.01282051282051282,0.010638297872340425,False,False,
A6QL63,0.44871794871794873,0.46808510638297873,False,True,
A6ZKI3,0.0,0.0,False,False,
A7E2V4,0.038461538461538464,0.031914893617021274,False,False,
A7KAX9,0.3974358974358974,0.40425531914893614,False,False,
A8CG34,0.0,0.0,False,False,
A8MPS7,0.717948717948718,0.723404255319149,False,False,
A8MQ03,0.3333333333333333,0.35106382978723405,False,False,
A8MTT3,0.6538461538461539,0.648936170212766,False,True,
A8MVW0,0.01282051282051282,0.02127659574468085,False,False,
A8MW92,0.14102564102564102,0.1595744680851064,False,False,
A8MXV4,0.02564102564102564,0.02127659574468085,False,False,
A9UHW6,0.01282051282051282,0.010638297872340425,False,False,
B1AK53,0.0,0.0,False,False,
B2RTY4,0.9615384615384616,0.9680851063829787,False,True,
B4DXR9,0.9743589743589743,0.9787234042553191,False,True,
B7ZAP0,0.7948717948717948,0.7872340425531915,False,False,
B7ZAQ6,0.0641025641025641,0.07446808510638298,False,False,
C4AMC7,0.0,0.0,False,False,
C9J7I0,0.11538461538461539,0.13829787234042554,False,False,
C9JJH3,0.8589743589743589,0.8723404255319149,False,True,
C9JLW8,0.0,0.0,False,False,
E9PAV3,0.0,0.0,False,False,
E9PRG8,0.0,0.0,False,False,
L0R6Q1,0.21794871794871795,0.23404255319148937,False,True,
L0R819,0.01282051282051282,0.010638297872340425,False,False,
L0R8F8,0.0,0.0,False,False,
O00115,0.0,0.0,False,False,
O00116,0.0,0.0,False,False,
O00124,0.34615384615384615,0.3404255319148936,False,False,
O00139,0.0,0.0,False,False,
O00142,0.0,0.010638297872340425,False,False,
O00148,0.0,0.0,False,False,
O00151,0.0,0.0,False,False,
O00154,0.0,0.0,False,False,
O00159,0.0,0.0,False,False,
O00160,0.0,0.010638297872340425,False,False,
O00161,0.0,0.0,False,False,
O00165,0.0,0.0,False,False,
O00170,0.0,0.0,False,False,
O00178,0.0,0.0,False,False,
O00180,0.8333333333333334,0.851063829787234,False,True,
O00186,0.0,0.0,False,False,
O00189,0.01282051282051282,0.031914893617021274,False,False,
O00192,0.0,0.010638297872340425,False,False,
O00193,0.0,0.0,False,False,
O00194,0.01282051282051282,0.02127659574468085,False,False,
O00203,0.0,0.0,False,False,
O00204,0.1794871794871795,0.18085106382978725,False,False,
O00213,0.28205128205128205,0.2872340425531915,False,True,
O00214,0.0,0.0,False,False,
O00217,0.0,0.0,False,False,
O00221,0.0,0.0,False,False,
O00231,0.0,0.0,False,False,
O00232,0.0,0.0,False,False,
O00233,0.01282051282051282,0.010638297872340425,False,False,
O00244,0.0,0.0,False,False,
O00255,0.0,0.0,False,False,
O00257,0.02564102564102564,0.02127659574468085,False,False,
O00258,0.05128205128205128,0.06382978723404255,False,False,
O00264,0.0,0.0,False,False,[495]
O00267,0.0,0.0,False,False,
O00268,0.0,0.0,False,False,
O00273,0.0,0.0,False,False,
O00287,0.4358974358974359,0.43617021276595747,False,True,
O00291,0.0,0.0,False,False,
O00299,0.0,0.0,False,False,
O00303,0.0,0.0,False,False,
O00308,0.0,0.0,False,False,
O00311,0.717948717948718,0.723404255319149,False,True,
O00327,0.0,0.0,False,False,
O00329,0.782051282051282,0.7872340425531915,False,True,
O00330,0.0,0.0,False,False,
O00338,0.3717948717948718,0.3723404255319149,False,False,
O00339,0.07692307692307693,0.07446808510638298,False,False,
O00391,0.0,0.0,False,False,
O00399,0.6794871794871795,0.6808510638297872,False,True,
O00400,0.08974358974358974,0.10638297872340426,False,True,
O00401,0.0,0.0,False,False,
O00408,0.6923076923076923,0.648936170212766,False,False,
O00410,0.0,0.0,False,False,
O00411,0.0,0.0,False,False,
O00418,0.01282051282051282,0.010638297872340425,False,False,
O00422,0.0,0.0,False,False,
O00423,0.8461538461538461,0.8404255319148937,False,True,
O00425,0.0,0.0,False,False,
O00429,0.0,0.0,False,False,
O00442,0.0,0.0,False,False,
O00443,0.0,0.0,False,False,
O00458,0.6025641025641025,0.5851063829787234,False,True,
O00459,0.0,0.0,False,False,
O00461,0.1282051282051282,0.11702127659574468,False,False,
O00462,0.0,0.010638297872340425,False,False,
O00463,0.8333333333333334,0.851063829787234,False,True,
O00468,0.8333333333333334,0.8297872340425532,False,True,
O00469,0.0,0.0,False,False,
O00470,0.9871794871794872,0.9893617021276596,False,True,
O00471,0.0,0.0,False,False,
O00478,0.9487179487179487,0.9468085106382979,False,True,
O00483,0.0,0.0,False,False,
O00487,0.0,0.0,False,False,
O00488,0.0,0.0,False,False,
O00499,0.0,0.0,False,False,
O00505,0.0,0.0,False,False,
O00506,0.2564102564102564,0.24468085106382978,False,False,
O00507,0.9487179487179487,0.9361702127659575,False,True,
O00512,0.7307692307692307,0.7553191489361702,False,True,
O00515,0.0,0.0,False,False,
O00519,0.1282051282051282,0.10638297872340426,False,False,
O00522,0.21794871794871795,0.24468085106382978,False,False,
O00534,0.02564102564102564,0.031914893617021274,False,False,
O00541,0.0,0.0,False,False,
O00555,0.2692307692307692,0.2872340425531915,False,True,[557]
O00559,0.32051282051282054,0.3191489361702128,False,False,
O00560,0.02564102564102564,0.031914893617021274,False,False,
O00562,0.01282051282051282,0.010638297872340425,False,False,
O00566,0.0,0.0,False,False,
O00567,0.0,0.0,False,False,
O00571,0.0,0.0,False,False,
O00584,0.01282051282051282,0.010638297872340425,False,False,
O00592,0.02564102564102564,0.0425531914893617,False,False,
O00622,0.0,0.0,False,False,
O00623,0.34615384615384615,0.3617021276595745,False,False,
O00625,0.0,0.0,False,False,
O00629,0.0,0.0,False,False,
O00635,0.10256410256410256,0.10638297872340426,False,False,
