,P61981,P62910,P09104,P35222,Q07666,Q02543,P98179,P68371,P67809,P63279,P62917,P20645,Q14160,P62424,P62269,P23528,P61978,P27635,P59998,P30626,P31040,P49207,Q14108,Q13637,Q14764,Q15582,O00622,Q99614,Q92890,O75439,Q6BDS2,O75608,P00390,P04844,P36551,P99999,P60468,P40222,P47914,Q15084,Q9UK76,Q9H5V8,Q9H3N1,Q9BUF5,Q16698,Q8NC51,P82979,P62266,Q92747,Q15428,Q14919,Q8WW12,Q8TEX9,P84098,O00422,O60869,P28072,P09669,P11234,P12270,P33240,P18077,P20962,O95336,O94906,P08195,P31949,Q9UBS4,O75934,P06132,P18669,P49006,Q32P51,O75131,Q15126,P53992,P46777,Q13153,P10909,P10412,Q8N1F7,P62851,P62328,Q9H3U1,O43617,P55010,Q9NVP1,P55809,P24941,Q02750,P29317,Q14978,Q13547,P07437,P27816,P08581,P30085,P11802,Q13509,Inhi_5,pert_id,trial names
0,0.5012329115455001,-0.27950539685632547,0.0019707640401718427,-0.08803182452882546,0.11454074276147702,-0.5340332185688882,-0.14606254610941982,0.17905399411989742,-0.4997159121198245,0.15283891790349527,-0.33111121631001894,0.471511271198086,-0.38393630094701053,-0.4556153128717794,0.03656240917181903,0.3058569737417031,0.0931833244130794,-0.22512003947315604,-0.18208949053623888,-0.3327698531594659,-0.030053755120824824,-0.04690319412799838,-0.07429154864544968,-0.0894619183792124,-0.1194625683070598,0.5343031326180284,-0.6033811590651837,-0.4384561634979944,-0.4576744223641335,-0.39292787270555846,0.10012521007492405,-0.002108345755453984,-0.3691884037736734,-0.058596887492591676,-0.028523333803876356,0.4098116682861515,0.22105310506369602,-0.4725740650681991,-0.36921058964289394,-0.05824782577167828,-0.3314504259768977,0.35779502056228624,0.1209695961869277,-0.29515522575543407,-0.42472037493117254,-0.3969802626167637,0.058546324472675215,-0.2751157128162541,-0.00035141764609416165,-0.20839650529810097,-0.46633704040528756,0.004016863733346897,-0.20150591595215514,-0.23165171480519076,-0.44721054770346386,-0.4153113816075884,-0.04999092513413896,-0.2751608800058433,-0.2255361384262677,-0.2795281161783188,0.24067114666528744,-0.09791151299933365,0.550418693134402,-0.19379904626549846,-0.1401575381242723,0.4773175020770299,0.20996748238013982,0.11699393865702275,-0.29639298574306255,0.1295698419837684,0.14045691253612536,-0.9521606961093236,-0.36501134699172005,-0.13080304000013857,-0.3980247499663399,-0.09709740851120752,-0.23327745829080934,0.06760228990286288,0.04642605365780842,-0.24990708718129304,-0.23247130479751832,-0.0007340393904892486,-0.3359756752296144,-0.2851068293438819,-0.37112693278227155,-0.5345505195655501,-0.17561946507263085,0.01851465525321837,0.46419687680056027,-0.3164579026598363,-0.20283954920929811,-0.08409931995112847,-0.13834613468889811,0.08450749670683932,-0.40783504475309457,0.5512683107656918,-0.01306716871188728,0.024927138634427675,0.09933164461777272,0.666105499438833,10,Abemaciclib_10_24
3,-0.6124453711550032,-0.42262485738422156,0.11250784419795117,0.047270374386570606,-0.019496545650944497,-1.0869154784696133,-0.17536494384447499,0.07346395925986837,-1.0883443503303312,0.027335043851235457,-1.1680733936282985,0.2420754304212598,-0.19711329778707362,-0.449051585616357,-0.5646944385936735,0.2024489619230149,-0.3352151729858767,-0.3075733895010181,-0.2282058929611276,-0.18173068825336766,-0.3007950625547892,-0.503914178537218,-0.031742546059399745,0.2842838615598612,-0.21149750865594372,1.545695674825384,0.1700442949240489,-0.14827694968938518,0.020963190684024625,-0.4991091895287167,-1.327612520020649,-0.23823184917908466,-0.5770725222638687,0.014615210552228508,-0.3064688390410457,0.1803760710354068,-0.6979395083443762,-0.4609605094891595,-1.383778604940748,0.38399970555517743,-0.23357011469783398,0.5093190410668085,-0.1916223854033976,-0.1423857570737645,-0.245368170774424,-0.5534271629335193,-0.3933342509931445,-0.2897208966615585,0.44910239264823354,-0.5475095043475314,-0.34238760531566176,-0.039116437148014056,-0.696203728752035,-0.46165000560794817,-0.7301542736350698,-0.6777168309084466,-0.6291310528081899,0.008838683008865061,0.25283737387821453,0.15966816774353196,-0.2673327590157761,-0.06772075262315083,0.4155331894481254,-0.08135701605741932,-0.3748700568435442,1.4565003018591562,0.48707168545689655,0.30099836144456693,-0.48266992172172146,-0.22777593193317422,0.053240725231308926,-0.3244035474347625,-0.12282625366704263,-0.43657800284397713,0.010711429304024847,-0.2688969196775347,-0.356246893714824,0.007497598948372618,0.8156840964765948,-0.35159514318252133,-0.5978881051147575,-0.24750289351350022,-0.08762844120857394,0.08867039468805528,-0.2356812506167497,-0.20763180596564246,-0.3078057333892124,0.02746391969588267,0.3912198501009189,-0.26915754108925466,0.00520347703929575,-0.6127671097095332,-0.573510337573377,0.04220787652403598,-0.2939157005323452,-0.17148807385539536,-0.04340702004940441,-0.23354696685179577,0.09819857538271624,0.5474678872,21,Afatinib_21_24
6,0.12774983052858682,-0.05233747704764874,-0.2359705127083883,-0.11193284549829295,0.22156592072966072,-0.06486729990351177,0.021176633132429692,0.1844531509514923,-0.2624216330661556,-0.006727407228112103,-0.035171252636180234,-0.06066692696907824,0.13855768916419392,-0.11443029456693599,0.16707939182483098,0.1320960958726789,0.01575461888448365,-0.11571104657600788,0.01681219089015379,0.014215751978705496,0.1963691994383875,-0.0866086908204894,-0.1478139674429047,-0.6491868150994978,0.07771097246737622,0.31238526629872987,-0.39498699199362436,-0.11131269783186985,-0.2731041345096465,0.011640446521920816,0.056729185020418016,-0.0055506204263907856,0.03911758215043634,0.038865071356935045,-0.1462336884768414,0.056054291913979454,-0.07793402251099604,-0.054846355662672965,0.0632215501708231,0.07776224586742787,0.07601898369736361,-0.2861694152066429,0.24026246123312342,0.11038042503118857,0.1609423432495867,-0.28224792414108224,0.22332735924639666,-0.1523572431043288,0.6940383179521218,-0.15992670602847459,-0.20169250999567723,0.10805599104145953,-0.1923158960158949,-0.16743783651821834,-0.27493975437532014,-0.18072536941146333,-0.04557622143116503,-0.021750824747880274,-0.4268318106971812,-0.09119463481697204,-0.24878815040602675,-0.17779406119323823,0.424782837907349,0.1005742298954122,0.022771462994007726,-0.051145015705194107,-0.4164404619354855,0.012938142396222485,-0.2558342282086575,0.38212127218173436,0.15153933989205853,-0.10981215800908341,-0.28590171310257045,0.15961457679022215,-0.14264052739443736,0.06316940305200659,-0.10700125403572018,0.1606475625905687,-0.24868739247434513,0.025378368896875576,0.05387797762295534,0.16548646841686313,0.07871618501847102,-0.07242321497901257,0.030960620151182044,-0.41517012751869536,-0.061413038522642405,0.04662570903670369,0.43255070986506716,-0.17846702332829575,-0.09004712629071077,-0.34787043730816514,0.08609246616722512,0.21777442518070797,-0.3596331800835742,0.11490589370970183,0.07752034632382264,0.011559533112992793,0.22583212636587965,0.754795396419437,8,Alpelisib_8_24
9,-0.2126350308258644,-0.5868427335659089,0.04577764896663236,-0.27459442311545007,-0.5494923838177441,-0.582222298792074,-0.20336184046643727,0.07985126790323303,-0.47548568015712617,-0.15991345079416278,-0.7034731005648941,0.15047731396171213,-0.11603976939497206,-0.17587435236318805,-0.19308557934802775,0.0702735091652109,-0.24696680594211726,-0.10283682604229012,0.04558733674634254,-0.2020074691549549,-0.2951807057083696,-0.1354975402916239,-0.26970000337789574,-0.11092052557152036,-0.08575375039847398,1.2121983500895759,-0.13726819285859784,-0.22495379574496263,-0.16495652178960177,-0.2106572059122723,-0.9889905372803588,-0.16433169782240073,-0.06903237211923291,-0.11111159068043581,-0.30135449804121234,0.4201998399596416,-0.08903402838054357,-0.6663255945708693,-0.7394124375608725,0.11661331457864983,0.37542656473885305,0.09042043051328608,-0.3244814974440409,-0.09264506724626446,-0.27215208585685624,-0.41367855811307813,-0.08088122623129078,-0.8437696714697701,0.23769678452478635,-0.40065966831540517,-0.35558837506580016,-0.03011222291654698,-0.28827085186805174,-0.35261614898481136,-0.3877787071498411,-0.03561617332246218,-0.37985527835833155,-0.44634036238231234,-0.22702118221368126,-0.08458444420010403,-0.07291984260613789,-0.25983499663167425,0.4051078456110018,-0.2012634810451125,-0.07755377965416788,0.03280863103837273,0.25906112070166626,-0.13094618634191205,-0.46889278363064973,-0.05947779473017711,-0.0518279600882822,-1.1440160675679818,-0.19405924469394956,-0.05243844971860347,-0.050136820286813995,0.19928249491530384,-0.03124030921457151,-0.59223079624187,0.08704802430161078,-0.4649838794126612,-0.27051125293262773,-0.08356080880605765,0.09389514554165225,0.053434422847798424,0.1026665160600886,-0.21051922823333313,-0.1430196807054611,-0.22130444620713807,0.40565138025490827,-0.021972051331196212,-0.13418931599638742,-0.6270037256944815,-0.33621228798533603,0.019253020965476726,-0.4654222369874912,-0.9679118516475725,0.010974351491686149,0.27802551588181923,-0.05026454277943423,0.6227668684000001,46,Aminolevulinic_46_24
12,0.2354810663289689,0.06565895196134308,-0.24519938732694788,-0.41693190237962563,0.1869939506162991,-0.1741776187045979,0.15176715420088008,0.2651498277819678,-0.14350503053327782,0.40305199508296313,-0.13409846128438507,-0.34579522103663435,-0.2907512323625125,0.016016961092139875,0.21588146439999134,0.21792447867765005,0.031271780244073365,0.12943931235297113,-0.0030642744540685754,-0.0510844925025461,0.01793800455402489,0.09679457013496584,-0.44554457155925226,-0.7196402120038212,-0.13291244668337382,0.48959856252368067,-0.15181402043507092,-0.14879352518286834,0.19327659735808167,-0.0062277068432026,-0.1259896910619217,-0.06332161631829973,-0.02040273390424836,-0.2277865861824376,0.1650059094948816,-0.23374040477785496,0.33935130494045845,0.037604153249760734,0.05984490263260741,0.007782912288749701,0.25219265945873487,0.10727502071641841,-0.05136802515643035,0.19058825312311722,0.12847046693243674,-0.3726945753954032,0.09073380579652661,0.20381163308915565,-0.22359189534590826,-0.27654300527847236,-0.2093779924434396,0.18266966296177678,-0.05477737790892223,0.20708142855870437,-0.890492273449124,0.05501415234310716,0.06536312340409485,-0.25201149487322677,-0.5706400432285732,0.006864822342414788,0.17938674700890966,-0.12583404920968763,-0.1858151097865235,-0.07057908126696523,0.05551320462832343,-0.2609379642738419,-0.15848578027360075,-0.13411147267319748,-0.031019255323948728,0.0043882661664917015,0.22187892644381293,-0.546873849359109,-0.43582830071712736,0.14644169983781832,-0.01693268618926506,0.24866995798347002,0.1056433524118603,0.26553392829084393,-0.289644396914897,-0.2970210108868898,-0.30373913580436834,0.18711671408561445,-0.7110816963348263,0.1755909489145846,0.07655247766276789,-0.14878032334244745,0.040731440250629435,-0.17826535586046308,0.40889724844724595,0.15881979345695676,-0.46318619812400036,-0.08692615771616892,-0.01975101426023969,0.2616004268577121,-0.25336374481007323,0.2200730398371266,-0.09028631649469228,0.08022909687557862,0.42097270891865385,1.3325062030000001,55,Anastrozole_55_24
15,-0.1767020566859409,0.06866444573145278,-0.014066710284509978,-0.09564546426441599,-0.5598436429022176,-0.5957840757964744,-0.29556655014201993,0.2369126071304865,-0.9727252050867273,-0.18117256396739279,-1.1792737464265501,0.3656488258849875,-0.020836196990593907,-0.3869493696012178,-0.2958098990090265,0.1769040263079469,-0.2667657167194247,-0.13683636478560232,-0.04646416437578493,-0.38178258257430103,-0.2514500763903905,-0.295612283966972,-0.21947366315466196,0.07297691371616408,-0.3205409571627731,0.909711428562374,-0.717343550775061,0.05124964105526547,-0.32827067058056947,-0.4664712292957154,-0.013539275117951347,-0.32560280199209307,-0.5724555404756968,-0.13112284174754457,-0.45741506004168564,0.20148765158417536,-1.3672890549683265,0.5228507937782886,-1.0419656146087772,0.04213712343949572,0.2657751034589464,-0.31390101125343706,-0.4657529678636869,-0.024800028478875795,-0.6108082209431822,-0.9028038875296446,0.2724217917467443,-0.45605131684182554,0.2884635835178119,-0.6841148671555216,-1.3330724030026508,-0.07777111743554434,-0.5297897999015744,0.0035318441755760877,0.21461003495315217,-1.2177534706370838,-0.9693850517956454,-0.683314902660028,-0.19028350283951326,-0.16499776118730808,-0.9411387626545004,-0.5389660362927343,0.5099529863867461,0.06636250722421044,-0.1636724582077665,0.20744898844636975,0.3732153636075188,-0.22670554038710494,-0.31577397824210607,0.520960192332995,0.20768540530989898,-0.2329310379985532,-0.42628963744448783,-0.19440271913244084,-0.36819893363303824,0.432957311553676,-0.20849698421875149,-0.044229056741529583,-0.1714333882538186,-1.3426788118006594,-0.5227767213020873,-0.25602395094320884,0.2660289830380583,0.3986052340287151,0.18404375648178334,-0.12135661334826552,-0.1354847208269987,-0.29351917234393066,0.15754713731453956,-0.022525754854302,-0.18821729377701624,-0.9920922416027949,-0.28744284288309563,0.3064616388436057,-0.7366679177399291,0.6619158786777098,-0.0015671665827662676,0.5486621611341586,0.20777687893822772,0.4522368227,39,Azacytidine_39_24
18,0.11337425535203681,0.21914182759498466,-0.2278905501967449,-0.41893157973517886,0.25901113186483843,-0.10771006856510999,-0.025479243602741636,0.25344500997052166,-0.1642731887280695,0.1041745800171343,-0.05355852562250468,0.19212218339294432,0.09230715546610463,-0.15390136138092667,0.18470803865832977,0.1529207432720597,-0.0731288479018631,-0.15705890385382362,0.08015543940632597,0.14001521266359274,-0.16377645067143462,0.05637805417977947,-0.3128260630856196,-0.5284290583412269,-0.20972709310939164,0.8044601982284071,-0.09632250597205716,-0.21348127306144368,-0.16911900751610598,-0.6721579314150695,0.021574111818770225,0.0037210521757752558,-0.11249353426329262,-0.6245104961429345,0.3939346314322274,-0.08800365087466729,0.2749942230489672,-0.13490097284912314,-0.21894559584814507,-0.07935625899597294,0.43259078048218363,0.11626340405867137,-0.044501375500232476,0.21662861720422974,-0.0941639115190765,-0.5814997355706141,0.10312971911222772,0.013923470622928888,0.4987153038013646,-0.030765623403388943,0.10919550861890641,-0.027939761016286296,0.04401327876729033,0.17194301763189915,-0.5123003972289807,-0.08359928021085206,0.17146813257492233,0.18947043969895758,-0.7813144519448559,-0.005019621214733021,-0.5855589171315977,-0.006135441694493556,-0.10279509838116135,0.14849054503223405,-0.16862691910298536,-0.13924262441311466,-0.13311972030420724,-0.3097489006698045,-0.1725478654110204,0.017449310982908178,0.11739895161821491,-0.9949417271577986,-0.5586516806044414,0.0762807863208379,0.015060682367816663,0.464677777297992,0.00038017535764886995,0.21321257350970835,-0.576239931048386,-0.027864277295160094,-0.1385090547039916,0.29483827853893496,-0.806010999781348,0.20391371507581346,0.08039918327049095,-0.23321225052250813,0.038133757914003315,-0.33781344130023605,0.3071870565043499,0.09068305954809902,-0.26087783927063096,-0.17009802862240112,0.19235491785230785,0.09215276740993567,-0.2658145202028028,0.37123225788433994,-0.1447773780457501,-0.05730852590315975,0.12743496435944937,1.245737583,44,Bexarotene_44_24
21,-0.23602598303488795,-0.05197604528960973,0.08635972887569161,-0.614737613444338,0.19055908912582262,-0.3176945952116753,-0.7576052064256965,0.19728984823907178,-0.2991761380684926,0.06351007210641924,-0.26458654753315863,-0.1015787941346352,-0.7231416331901999,-0.3290867182288019,-0.23522379477733282,0.06717494618353298,-0.1433172558947227,-0.13222522023283215,-0.1438378991245467,-0.09124598381321507,-0.20134337505774735,-0.22216323442604155,-0.6064603839181145,-0.5867653660432286,-0.03248580097525992,0.2671757212392022,-0.1806823075901611,-0.035326385964729375,-0.006377184728041829,-0.19313010644863496,0.31900311013130705,-0.28373675620682065,-0.7371679927801558,-0.2364242995332683,-0.1307918638180059,-0.1325850382220514,-0.40491007014687613,-0.7599308930471015,-0.07319747356505935,-0.08092423433910674,-0.6319299749739548,0.01786877019557351,-0.12034396340482827,-0.13796591928006802,0.21117779348653634,-0.2866272527968862,-0.08693548986917443,-0.07214035181377847,0.40525587601243024,-0.1566774928745896,-0.4612104289482857,-0.4838906630215012,-0.17242262081532847,0.019318736840658438,-0.8660604971063702,-0.9723400376016592,-0.20391971377348975,0.4061774093336806,-0.2858651211158785,-0.5495420864448995,-0.4599072433242277,-0.011804350119287071,0.2715235379809519,-0.034673886874926084,-0.26444683126862184,0.28864858374584396,0.23135124985880137,-0.40515429631178507,-0.09398672795519518,0.1990297254299743,-0.020335984344802684,-1.3293089430468163,-0.395403185045846,-0.6173913504759018,-0.11623276486642248,-0.27597537355841584,-0.28952855780585535,-0.40451487769428485,-0.0023312966788351006,0.3802118345211852,-0.5008667347737755,-0.24648040104914457,-0.9932447592171624,0.2004462325344384,-0.28833344997644933,-0.32152899897659076,0.018613271046120733,0.02674574944512893,0.054465090730876464,-0.032321627597126874,-0.36472732615161485,-0.45837049581401507,-0.2841704979562672,-0.07045759666937663,-0.44924346891460537,0.5049601947581625,-0.3096592069979736,-0.2907546014047195,0.19168625808568404,0.508452931160302,26,Bosutinib_26_24
24,-0.36843453235690776,-0.6889607256843703,0.02669840381206635,-0.41560891475319545,-0.33918484461773724,-0.18002714148807983,-0.15274133697493733,0.0025020906093479365,-0.5077853855738163,0.07712507971586431,-0.6117682879653258,-0.13480334342107006,-0.41512022907508334,-0.22528216917109253,-0.15070796099937406,0.07092861417870357,-0.2026091623570314,-0.08852505867166921,-0.09977267984423448,-0.47122036983580157,-0.3154739959395127,-0.13607964539446255,-0.060383782803633955,-0.49895886808833706,-0.15428420082026714,1.874745420255735,0.043190586323537505,0.014394416145268337,-0.23218503981724112,-0.4877801223324238,-1.3154281098947411,-0.262787035136784,-0.6417227333286323,-0.1312532475870224,0.0007107273238493583,0.25377242431099584,0.5705719896572705,-0.7788424966184144,-0.7419694185014426,0.16223428040961285,-0.14932585380292104,0.17321374469306047,-0.1367632733573082,-0.06393330998752411,-0.5105623488752776,-0.42109926138782544,-0.2622508755203378,-0.6906239796167218,0.205279692795129,-0.17329765673773137,-0.5673594523888431,-0.32153236238507915,-0.1637814115472335,-0.24391181461806788,-0.04700455527325276,-0.01578473942692396,-0.5261823937137499,-0.6420590876345175,-0.3664413723571778,-0.12885792671540144,-0.014190279269894135,-0.18197072819591334,0.48737077980672444,-0.28518399725703203,-0.017848818281440564,0.11909732826605836,0.26785985079933367,-0.16182164072980484,-0.2862842621061628,-0.29449009114426855,-0.03496959824291743,-1.6471795295069185,-0.08494773027317422,-0.13094502271963826,-0.2580175637507161,0.09365510510054242,-0.13586257070582075,-0.4124150938417785,-0.021787843828909803,-0.833011134796398,-0.11950890065420162,-0.027953636204752535,-0.32704035419780164,-0.31941718458403107,-0.07378356945222209,-0.18563584077815024,-0.22280423997834245,-0.227690225091321,0.30792855999913105,-0.21494412286484552,-0.11435415816221468,-0.6359313297255251,0.08794225993515492,0.11232218014485756,-0.4857045859222555,0.27794571344446783,-0.22362644241761354,-0.6076896790654059,-0.06028045198679982,0.7352724051,49,Capecitabine_49_24
27,-0.36700403941276577,-0.42553723913106883,0.06806081735305004,-0.17114004555389628,-0.1122954111911079,-0.7157964027988659,-0.0211864662938111,0.061471379877208354,-0.4459257010087178,-0.059168816480282195,-0.6777474957411734,-0.02784217339234625,-0.267306102338756,-0.39044668044155656,-0.14876856651355913,0.1159728375843101,-0.20937756427128842,-0.09255677508799254,-0.14232747386175124,-0.3730930123598399,-0.3124764505273681,-0.5206583730263062,-0.29925899375959947,-0.19094091608275865,-0.2920186968616136,1.4697171891321315,0.01606524949047135,0.16681539389018488,-0.2381028913909963,-0.40487026456431013,-1.236704187635562,-0.3749565746513945,-0.3681188191472591,-0.07704115954084383,-0.08507653429999044,0.19965654758478255,0.3056399065574906,-0.25719031679653553,-0.5934355671465514,0.015354776585157133,0.011140580979372492,0.10175873565994294,-0.20032972656721407,-0.16892636288053473,-0.5116113911609835,-0.3447817181901174,0.07285041032397731,-0.6111444907540887,-0.04188135014210568,-0.3461411122960097,-0.635907187395055,0.07010403104560677,-0.1575037264690935,-0.14192763405333222,-1.0281468348367329,-0.06857398702303692,-0.47794184549086777,-0.4245790498404109,-0.6252974378667205,-0.2513902155170734,-0.2947766495995625,-0.5572822617067604,0.2594172113658104,-0.12580132838297153,-0.014357113110166112,0.08518947027422785,0.23544190041248123,-0.41731898616569496,-0.1570680125581562,-0.32473264926165885,-0.014440832928058414,-0.9477688853922427,-0.1459228733694449,0.026317693069135163,-0.028997693091435756,-0.0771297775745876,0.053877397669623524,-0.1145721632709341,-0.25562194878485794,-0.8795708002416047,-0.18807640003718853,-0.039942902281414505,0.07299742679595829,0.08793763696178947,-0.18393267237207522,-0.011682230345299584,0.04572907303899984,-0.17416300352043312,0.06582411964115513,0.025908647671103974,-0.12628790901710443,-1.2252223278552148,-0.3071520255900142,0.150293099589259,-0.42735012766073616,-0.4683216117399512,0.08758598613123203,0.21793932292220353,-0.03225548027792055,0.8281122310000001,60,Carboplatin_60_24
