,P27635,P18077,O95336,P33240,P63279,P00390,Q14919,Q96RT1,O60869,Q92890,P99999,Q8NC51,P20962,O00622,O95793,P55809,Q15582,P49207,P49006,P40222,P31040,P36551,P35222,P60468,P30626,Q6BDS2,P28072,P59998,P31949,O00422,Q15084,Q02543,Q13443,P98179,Q13637,P82979,P68371,Q14108,P67809,P62917,P62910,P62851,Q14160,P62424,P62269,P61981,Q92747,Q14764,P61978,Q07666,O75439,P13796,O95757,Q9NVP1,P09669,O75934,O75608,P10412,O60831,P04844,Q99614,Q9UK76,P20645,P23528,P09104,P08195,Q9H3U1,Q9H3N1,P61026,P07093,Q9H5V8,P24844,O94776,P62266,P62750,Q9UBS4,Q13907,P84098,O15143,Q00341,Q03135,Q15121,Q9Y3A5,P42766,Q16698,P46778,P31153,P46782,P11802,P27816,Q13547,P29317,P30085,Q13509,P07437,P08581,Q02750,P24941,Q14978,Inhi_5,pert_id,trial names
0,-0.22512003947315604,-0.09791151299933365,-0.19379904626549846,0.24067114666528744,0.15283891790349527,-0.3691884037736734,-0.46633704040528756,-0.7347272417357598,-0.4153113816075884,-0.4576744223641335,0.4098116682861515,-0.3969802626167637,0.550418693134402,-0.6033811590651837,-0.3123726356754438,0.01851465525321837,0.5343031326180284,-0.04690319412799838,-0.9521606961093236,-0.4725740650681991,-0.030053755120824824,-0.028523333803876356,-0.08803182452882546,0.22105310506369602,-0.3327698531594659,0.10012521007492405,-0.04999092513413896,-0.18208949053623888,0.20996748238013982,-0.44721054770346386,-0.05824782577167828,-0.5340332185688882,0.15428030195537226,-0.14606254610941982,-0.0894619183792124,0.058546324472675215,0.17905399411989742,-0.07429154864544968,-0.4997159121198245,-0.33111121631001894,-0.27950539685632547,-0.0007340393904892486,-0.38393630094701053,-0.4556153128717794,0.03656240917181903,0.5012329115455001,-0.00035141764609416165,-0.1194625683070598,0.0931833244130794,0.11454074276147702,-0.39292787270555846,-0.484099895668144,-0.14253460804051232,-0.17561946507263085,-0.2751608800058433,-0.29639298574306255,-0.002108345755453984,-0.24990708718129304,-0.07796963532509082,-0.058596887492591676,-0.4384561634979944,-0.3314504259768977,0.471511271198086,0.3058569737417031,0.0019707640401718427,0.4773175020770299,-0.2851068293438819,0.1209695961869277,-0.07583300187123676,0.1713578637105894,0.35779502056228624,-0.24546489975935679,-0.7786595270969195,-0.2751157128162541,-0.4060051670744944,0.11699393865702275,0.6100123786869617,-0.23165171480519076,-0.2365803326408893,-0.36117313647346166,0.05176241251575734,0.6622711590113114,-0.1930190722086733,-0.6884009765424984,-0.42472037493117254,-0.28924881328961544,-0.42775780901812016,-0.24901652529856166,0.024927138634427675,-0.40783504475309457,-0.13834613468889811,-0.20283954920929811,-0.01306716871188728,0.09933164461777272,0.08450749670683932,0.5512683107656918,-0.3164579026598363,0.46419687680056027,-0.08409931995112847,0.666105499438833,10,Abemaciclib_10_24
3,-0.3075733895010181,-0.06772075262315083,-0.08135701605741932,-0.2673327590157761,0.027335043851235457,-0.5770725222638687,-0.34238760531566176,-0.00965700702765837,-0.6777168309084466,0.020963190684024625,0.1803760710354068,-0.5534271629335193,0.4155331894481254,0.1700442949240489,-0.5903050182544544,0.02746391969588267,1.545695674825384,-0.503914178537218,-0.3244035474347625,-0.4609605094891595,-0.3007950625547892,-0.3064688390410457,0.047270374386570606,-0.6979395083443762,-0.18173068825336766,-1.327612520020649,-0.6291310528081899,-0.2282058929611276,0.48707168545689655,-0.7301542736350698,0.38399970555517743,-1.0869154784696133,-0.19626218122253733,-0.17536494384447499,0.2842838615598612,-0.3933342509931445,0.07346395925986837,-0.031742546059399745,-1.0883443503303312,-1.1680733936282985,-0.42262485738422156,-0.24750289351350022,-0.19711329778707362,-0.449051585616357,-0.5646944385936735,-0.6124453711550032,0.44910239264823354,-0.21149750865594372,-0.3352151729858767,-0.019496545650944497,-0.4991091895287167,-0.010587903557288633,0.3391728145982929,-0.3078057333892124,0.008838683008865061,-0.48266992172172146,-0.23823184917908466,-0.35159514318252133,0.8167413068784873,0.014615210552228508,-0.14827694968938518,-0.23357011469783398,0.2420754304212598,0.2024489619230149,0.11250784419795117,1.4565003018591562,0.08867039468805528,-0.1916223854033976,-0.4484969488491192,0.723745803058497,0.5093190410668085,-0.4283546067121344,-0.37832466184133073,-0.2897208966615585,-0.3133552605836862,0.30099836144456693,0.06178376423617175,-0.46165000560794817,-0.5305800915301216,-0.5445732681617709,-0.37738569287849266,0.20751889451198194,-0.37209934178209303,-1.1826879381011257,-0.245368170774424,-0.5281807460775384,-0.4963991514670532,-0.30632108851718604,-0.23354696685179577,-0.2939157005323452,-0.573510337573377,0.00520347703929575,-0.04340702004940441,0.09819857538271624,0.04220787652403598,-0.17148807385539536,-0.26915754108925466,0.3912198501009189,-0.6127671097095332,0.5474678872,21,Afatinib_21_24
6,-0.11571104657600788,-0.17779406119323823,0.1005742298954122,-0.24878815040602675,-0.006727407228112103,0.03911758215043634,-0.20169250999567723,-0.3850017842125088,-0.18072536941146333,-0.2731041345096465,0.056054291913979454,-0.28224792414108224,0.424782837907349,-0.39498699199362436,-0.1587396925870739,0.04662570903670369,0.31238526629872987,-0.0866086908204894,-0.10981215800908341,-0.054846355662672965,0.1963691994383875,-0.1462336884768414,-0.11193284549829295,-0.07793402251099604,0.014215751978705496,0.056729185020418016,-0.04557622143116503,0.01681219089015379,-0.4164404619354855,-0.27493975437532014,0.07776224586742787,-0.06486729990351177,0.03139613927378817,0.021176633132429692,-0.6491868150994978,0.22332735924639666,0.1844531509514923,-0.1478139674429047,-0.2624216330661556,-0.035171252636180234,-0.05233747704764874,0.16548646841686313,0.13855768916419392,-0.11443029456693599,0.16707939182483098,0.12774983052858682,0.6940383179521218,0.07771097246737622,0.01575461888448365,0.22156592072966072,0.011640446521920816,-0.43388294295804336,-0.042044425084508195,-0.061413038522642405,-0.021750824747880274,-0.2558342282086575,-0.0055506204263907856,0.025378368896875576,0.8099333060410605,0.038865071356935045,-0.11131269783186985,0.07601898369736361,-0.06066692696907824,0.1320960958726789,-0.2359705127083883,-0.051145015705194107,-0.07242321497901257,0.24026246123312342,-0.27877090736335525,0.031063287117569994,-0.2861694152066429,-0.4736697136493393,-0.2846550417202554,-0.1523572431043288,-0.08957121998690787,0.012938142396222485,-0.308877143462537,-0.16743783651821834,0.1370371299940342,-0.17629449596813793,0.16498743720951484,0.03918632201347735,-0.6078787086310585,-0.08964682448391487,0.1609423432495867,0.026490173895348624,-0.27310078832050005,-0.08466628271096616,0.011559533112992793,-0.3596331800835742,0.08609246616722512,-0.09004712629071077,0.07752034632382264,0.22583212636587965,0.21777442518070797,0.11490589370970183,-0.17846702332829575,0.43255070986506716,-0.34787043730816514,0.754795396419437,8,Alpelisib_8_24
9,-0.10283682604229012,-0.25983499663167425,-0.2012634810451125,-0.07291984260613789,-0.15991345079416278,-0.06903237211923291,-0.35558837506580016,0.16836385470158097,-0.03561617332246218,-0.16495652178960177,0.4201998399596416,-0.41367855811307813,0.4051078456110018,-0.13726819285859784,-0.2722248623566204,-0.22130444620713807,1.2121983500895759,-0.1354975402916239,-1.1440160675679818,-0.6663255945708693,-0.2951807057083696,-0.30135449804121234,-0.27459442311545007,-0.08903402838054357,-0.2020074691549549,-0.9889905372803588,-0.37985527835833155,0.04558733674634254,0.25906112070166626,-0.3877787071498411,0.11661331457864983,-0.582222298792074,-0.2737922742684881,-0.20336184046643727,-0.11092052557152036,-0.08088122623129078,0.07985126790323303,-0.26970000337789574,-0.47548568015712617,-0.7034731005648941,-0.5868427335659089,-0.08356080880605765,-0.11603976939497206,-0.17587435236318805,-0.19308557934802775,-0.2126350308258644,0.23769678452478635,-0.08575375039847398,-0.24696680594211726,-0.5494923838177441,-0.2106572059122723,0.020046734211841333,0.008807111333304946,-0.1430196807054611,-0.44634036238231234,-0.46889278363064973,-0.16433169782240073,-0.4649838794126612,0.348946040443558,-0.11111159068043581,-0.22495379574496263,0.37542656473885305,0.15047731396171213,0.0702735091652109,0.04577764896663236,0.03280863103837273,0.053434422847798424,-0.3244814974440409,-0.3881899868347956,0.37409191730661256,0.09042043051328608,-0.43612206373295187,-0.4467388623990434,-0.8437696714697701,-0.10245952470461771,-0.13094618634191205,-0.20781876601265237,-0.35261614898481136,0.04938442482655416,-0.08670266229711139,-0.27221323124206026,0.5469650806709797,-0.4353608339101566,-0.48851412849170606,-0.27215208585685624,-0.0883461813467214,-0.09490737930506128,-0.37638602051078157,0.27802551588181923,-0.4654222369874912,-0.33621228798533603,-0.13418931599638742,0.010974351491686149,-0.05026454277943423,0.019253020965476726,-0.9679118516475725,-0.021972051331196212,0.40565138025490827,-0.6270037256944815,0.6227668684000001,46,Aminolevulinic_46_24
12,0.12943931235297113,-0.12583404920968763,-0.07057908126696523,0.17938674700890966,0.40305199508296313,-0.02040273390424836,-0.2093779924434396,0.12520675703767595,0.05501415234310716,0.19327659735808167,-0.23374040477785496,-0.3726945753954032,-0.1858151097865235,-0.15181402043507092,-0.1013825764981336,-0.17826535586046308,0.48959856252368067,0.09679457013496584,-0.546873849359109,0.037604153249760734,0.01793800455402489,0.1650059094948816,-0.41693190237962563,0.33935130494045845,-0.0510844925025461,-0.1259896910619217,0.06536312340409485,-0.0030642744540685754,-0.15848578027360075,-0.890492273449124,0.007782912288749701,-0.1741776187045979,0.1055266443759948,0.15176715420088008,-0.7196402120038212,0.09073380579652661,0.2651498277819678,-0.44554457155925226,-0.14350503053327782,-0.13409846128438507,0.06565895196134308,0.18711671408561445,-0.2907512323625125,0.016016961092139875,0.21588146439999134,0.2354810663289689,-0.22359189534590826,-0.13291244668337382,0.031271780244073365,0.1869939506162991,-0.0062277068432026,0.044553972965123846,0.10348576573825981,0.040731440250629435,-0.25201149487322677,-0.031019255323948728,-0.06332161631829973,-0.2970210108868898,0.2576807790246379,-0.2277865861824376,-0.14879352518286834,0.25219265945873487,-0.34579522103663435,0.21792447867765005,-0.24519938732694788,-0.2609379642738419,0.1755909489145846,-0.05136802515643035,-0.09690084304279935,0.1396941777370696,0.10727502071641841,-0.6109799204778709,-0.05814977675773363,0.20381163308915565,-0.10577965794845497,-0.13411147267319748,0.07015020099870327,0.20708142855870437,0.1137702008672674,-0.03959021032829877,-0.1277419835577199,-0.19102131752828658,-0.1994902597749236,0.015902009445311695,0.12847046693243674,0.14940035603552312,0.03288363995139663,-0.01893594981615659,0.08022909687557862,-0.25336374481007323,-0.01975101426023969,-0.46318619812400036,-0.09028631649469228,0.42097270891865385,0.2616004268577121,0.2200730398371266,0.15881979345695676,0.40889724844724595,-0.08692615771616892,1.3325062030000001,55,Anastrozole_55_24
15,-0.13683636478560232,-0.5389660362927343,0.06636250722421044,-0.9411387626545004,-0.18117256396739279,-0.5724555404756968,-1.3330724030026508,-0.008062933369046862,-1.2177534706370838,-0.32827067058056947,0.20148765158417536,-0.9028038875296446,0.5099529863867461,-0.717343550775061,-0.6895886169293597,-0.29351917234393066,0.909711428562374,-0.295612283966972,-0.2329310379985532,0.5228507937782886,-0.2514500763903905,-0.45741506004168564,-0.09564546426441599,-1.3672890549683265,-0.38178258257430103,-0.013539275117951347,-0.9693850517956454,-0.04646416437578493,0.3732153636075188,0.21461003495315217,0.04213712343949572,-0.5957840757964744,-0.2674105694081541,-0.29556655014201993,0.07297691371616408,0.2724217917467443,0.2369126071304865,-0.21947366315466196,-0.9727252050867273,-1.1792737464265501,0.06866444573145278,-0.25602395094320884,-0.020836196990593907,-0.3869493696012178,-0.2958098990090265,-0.1767020566859409,0.2884635835178119,-0.3205409571627731,-0.2667657167194247,-0.5598436429022176,-0.4664712292957154,-0.46785542715668127,0.2523080412249621,-0.1354847208269987,-0.683314902660028,-0.31577397824210607,-0.32560280199209307,-1.3426788118006594,0.21698022997703267,-0.13112284174754457,0.05124964105526547,0.2657751034589464,0.3656488258849875,0.1769040263079469,-0.014066710284509978,0.20744898844636975,0.3986052340287151,-0.4657529678636869,-0.3251563705096927,0.1436848842402336,-0.31390101125343706,-2.2897782756825698,-0.4883019656691776,-0.45605131684182554,-0.17563771799843095,-0.22670554038710494,-0.0021515489257386694,0.0035318441755760877,-0.19775495015917752,-0.49202262406875097,-0.9019492489301445,0.7293991739002,-0.37794837114408375,-0.7435339718730849,-0.6108082209431822,-0.19738090545469494,-0.044642948359473945,-0.2696109774130258,0.5486621611341586,-0.7366679177399291,-0.28744284288309563,-0.18821729377701624,-0.0015671665827662676,0.20777687893822772,0.3064616388436057,0.6619158786777098,-0.022525754854302,0.15754713731453956,-0.9920922416027949,0.4522368227,39,Azacytidine_39_24
18,-0.15705890385382362,-0.006135441694493556,0.14849054503223405,-0.5855589171315977,0.1041745800171343,-0.11249353426329262,0.10919550861890641,-0.10322607799200408,-0.08359928021085206,-0.16911900751610598,-0.08800365087466729,-0.5814997355706141,-0.10279509838116135,-0.09632250597205716,-0.3066421435258947,-0.33781344130023605,0.8044601982284071,0.05637805417977947,-0.9949417271577986,-0.13490097284912314,-0.16377645067143462,0.3939346314322274,-0.41893157973517886,0.2749942230489672,0.14001521266359274,0.021574111818770225,0.17146813257492233,0.08015543940632597,-0.13311972030420724,-0.5123003972289807,-0.07935625899597294,-0.10771006856510999,0.0881126690631805,-0.025479243602741636,-0.5284290583412269,0.10312971911222772,0.25344500997052166,-0.3128260630856196,-0.1642731887280695,-0.05355852562250468,0.21914182759498466,0.29483827853893496,0.09230715546610463,-0.15390136138092667,0.18470803865832977,0.11337425535203681,0.4987153038013646,-0.20972709310939164,-0.0731288479018631,0.25901113186483843,-0.6721579314150695,-0.7642836331976408,-0.3062825622615634,0.038133757914003315,0.18947043969895758,-0.1725478654110204,0.0037210521757752558,-0.027864277295160094,0.31334574242738167,-0.6245104961429345,-0.21348127306144368,0.43259078048218363,0.19212218339294432,0.1529207432720597,-0.2278905501967449,-0.13924262441311466,0.20391371507581346,-0.044501375500232476,-0.089209375095038,-0.1088454948316135,0.11626340405867137,-0.6434344545060428,-0.2181432865944363,0.013923470622928888,-0.12033646175963764,-0.3097489006698045,-0.6311394000147984,0.17194301763189915,0.08327207875854341,0.15964031049507796,0.12480154645474868,0.4825331654362919,0.0484039639914664,-0.2627459449996856,-0.0941639115190765,0.07528082153705633,-0.23040270280924688,-0.03194895925669072,-0.05730852590315975,-0.2658145202028028,0.19235491785230785,-0.26087783927063096,-0.1447773780457501,0.12743496435944937,0.09215276740993567,0.37123225788433994,0.09068305954809902,0.3071870565043499,-0.17009802862240112,1.245737583,44,Bexarotene_44_24
21,-0.13222522023283215,-0.011804350119287071,-0.034673886874926084,-0.4599072433242277,0.06351007210641924,-0.7371679927801558,-0.4612104289482857,-0.26387958535644035,-0.9723400376016592,-0.006377184728041829,-0.1325850382220514,-0.2866272527968862,0.2715235379809519,-0.1806823075901611,-0.5213315578124859,0.02674574944512893,0.2671757212392022,-0.22216323442604155,-1.3293089430468163,-0.7599308930471015,-0.20134337505774735,-0.1307918638180059,-0.614737613444338,-0.40491007014687613,-0.09124598381321507,0.31900311013130705,-0.20391971377348975,-0.1438378991245467,0.23135124985880137,-0.8660604971063702,-0.08092423433910674,-0.3176945952116753,-0.2300355107307729,-0.7576052064256965,-0.5867653660432286,-0.08693548986917443,0.19728984823907178,-0.6064603839181145,-0.2991761380684926,-0.26458654753315863,-0.05197604528960973,-0.24648040104914457,-0.7231416331901999,-0.3290867182288019,-0.23522379477733282,-0.23602598303488795,0.40525587601243024,-0.03248580097525992,-0.1433172558947227,0.19055908912582262,-0.19313010644863496,-0.16505315186131408,-0.27267925411555377,0.018613271046120733,0.4061774093336806,-0.09398672795519518,-0.28373675620682065,0.3802118345211852,0.6963290908445665,-0.2364242995332683,-0.035326385964729375,-0.6319299749739548,-0.1015787941346352,0.06717494618353298,0.08635972887569161,0.28864858374584396,0.2004462325344384,-0.12034396340482827,-0.1966443271748178,0.0160806283548668,0.01786877019557351,-0.5061341352030982,-0.4457765557012923,-0.07214035181377847,-0.23511820913514916,-0.40515429631178507,0.6179116368323019,0.019318736840658438,-0.08184197121875292,-0.7905484505071968,0.13457929662272466,0.3857950998766937,-0.4530916052978404,-0.3726301922979937,0.21117779348653634,-0.2916257408309633,-0.5784870976721146,-0.17985816869375212,-0.2907546014047195,-0.44924346891460537,-0.2841704979562672,-0.36472732615161485,-0.3096592069979736,0.19168625808568404,-0.07045759666937663,0.5049601947581625,-0.032321627597126874,0.054465090730876464,-0.45837049581401507,0.508452931160302,26,Bosutinib_26_24
24,-0.08852505867166921,-0.18197072819591334,-0.28518399725703203,-0.014190279269894135,0.07712507971586431,-0.6417227333286323,-0.5673594523888431,0.19260929921839232,-0.01578473942692396,-0.23218503981724112,0.25377242431099584,-0.42109926138782544,0.48737077980672444,0.043190586323537505,-0.5153712073590658,-0.227690225091321,1.874745420255735,-0.13607964539446255,-1.6471795295069185,-0.7788424966184144,-0.3154739959395127,0.0007107273238493583,-0.41560891475319545,0.5705719896572705,-0.47122036983580157,-1.3154281098947411,-0.5261823937137499,-0.09977267984423448,0.26785985079933367,-0.04700455527325276,0.16223428040961285,-0.18002714148807983,0.1664758347947782,-0.15274133697493733,-0.49895886808833706,-0.2622508755203378,0.0025020906093479365,-0.060383782803633955,-0.5077853855738163,-0.6117682879653258,-0.6889607256843703,-0.027953636204752535,-0.41512022907508334,-0.22528216917109253,-0.15070796099937406,-0.36843453235690776,0.205279692795129,-0.15428420082026714,-0.2026091623570314,-0.33918484461773724,-0.4877801223324238,-0.00011499244565528939,0.17629486563994176,-0.22280423997834245,-0.6420590876345175,-0.2862842621061628,-0.262787035136784,-0.833011134796398,0.5772259817239931,-0.1312532475870224,0.014394416145268337,-0.14932585380292104,-0.13480334342107006,0.07092861417870357,0.02669840381206635,0.11909732826605836,-0.31941718458403107,-0.1367632733573082,-0.6045506694350263,0.31065030417892553,0.17321374469306047,-0.3897183740404455,-0.10071331003548271,-0.6906239796167218,-0.05972111159327145,-0.16182164072980484,0.0436660489400541,-0.24391181461806788,-0.41427664596142555,-0.32862540341921687,-0.2984778202053694,0.523669534872213,-0.22731053695797546,-0.4909376687388645,-0.5105623488752776,-0.4537569314358758,-0.10297734802071205,-0.49486954981071074,-0.6076896790654059,-0.4857045859222555,0.08794225993515492,-0.11435415816221468,-0.22362644241761354,-0.06028045198679982,0.11232218014485756,0.27794571344446783,-0.21494412286484552,0.30792855999913105,-0.6359313297255251,0.7352724051,49,Capecitabine_49_24
27,-0.09255677508799254,-0.5572822617067604,-0.12580132838297153,-0.2947766495995625,-0.059168816480282195,-0.3681188191472591,-0.635907187395055,-0.3719334894773246,-0.06857398702303692,-0.2381028913909963,0.19965654758478255,-0.3447817181901174,0.2594172113658104,0.01606524949047135,-0.486151441241554,-0.17416300352043312,1.4697171891321315,-0.5206583730263062,-0.9477688853922427,-0.25719031679653553,-0.3124764505273681,-0.08507653429999044,-0.17114004555389628,0.3056399065574906,-0.3730930123598399,-1.236704187635562,-0.47794184549086777,-0.14232747386175124,0.23544190041248123,-1.0281468348367329,0.015354776585157133,-0.7157964027988659,-0.015755383821929352,-0.0211864662938111,-0.19094091608275865,0.07285041032397731,0.061471379877208354,-0.29925899375959947,-0.4459257010087178,-0.6777474957411734,-0.42553723913106883,-0.039942902281414505,-0.267306102338756,-0.39044668044155656,-0.14876856651355913,-0.36700403941276577,-0.04188135014210568,-0.2920186968616136,-0.20937756427128842,-0.1122954111911079,-0.40487026456431013,-0.10163725469329517,0.3475306664969122,0.04572907303899984,-0.4245790498404109,-0.1570680125581562,-0.3749565746513945,-0.8795708002416047,0.3894934932523478,-0.07704115954084383,0.16681539389018488,0.011140580979372492,-0.02784217339234625,0.1159728375843101,0.06806081735305004,0.08518947027422785,0.08793763696178947,-0.20032972656721407,-0.044231916244572296,0.2935286935038098,0.10175873565994294,-0.4075655315071978,-0.18506173756808697,-0.6111444907540887,-0.04913814591942376,-0.41731898616569496,-0.0874923650886426,-0.14192763405333222,-0.33879144251944115,-0.19005095659117008,-0.5425522914739432,0.6577207282723322,-0.20565703015818929,-0.91539626646092,-0.5116113911609835,-0.4703937420491775,-0.13530915021421192,-0.2548099344432428,0.21793932292220353,-0.42735012766073616,-0.3071520255900142,-0.12628790901710443,0.08758598613123203,-0.03225548027792055,0.150293099589259,-0.4683216117399512,0.025908647671103974,0.06582411964115513,-1.2252223278552148,0.8281122310000001,60,Carboplatin_60_24
