,4EBP1pS65,RbpS807,MAPKpT202,MEKpS217,S6,PAI-1,AKTpS473,AMPKpT172,b-Catenin,BIM,Caveolin,CyclinB1,CyclinD1,GSK3abpS21,GSKpS9,IGFBP2,p38pT180,p53,p70S6KpT389,SRCpY527,STAT3pY705,TSC2pT1462,YAPpS127,ACC1,AKTpT308,AKT,b-CateninpS,Fibronectin,HSP27,IGF1R-beta,IRS1,p27,c-Myc,SMAD3,STAT3,STAT5,STAT5pY694,COX2,PAX2,PLK1,YBIpS102,CHK2pT68,S6pS235,S6pS240,4EBP1pT37,Caspase9,a-tubulin,ATMpS1981,ATR,BAK,BCL-XL,BCL2,bRAF,c-JUNpS73,Casp9cAsp31,CHK1pS345,cRAFV,EGFRV,ELK1pS383,ERa,GATA3,GSK3ab,mTORpS2448,p21,STAT6pY641,TAZpS89,XRCC1,PCNA,PDK1pS241,PI3Kp85,PKCa,RAD51,SRCpY416,4EBP1pT70,ACCpS79,Collagenase,CyclinE1,IRS1pS307,p38,SMAD3pS423,TSC2,SRC,G2M,G1arrest,G2arrest,Sarrest,cellviab,aMEK,aAKT,aHDAC,aMDM2,aJAK,aBRAFm,aPKC,aSTAT3,amTOR,aPI3K,aCDK4,aSRC
0,-0.53691417,-0.4727341,-0.01994262,-0.42838532,-0.30377945,0.07316281,-0.15679216,-0.20510526,0.90192354,0.44717652,-0.24011146,-0.59746116,-0.17010674,-0.039279513,-0.7123617,0.098689735,0.02694988,0.2422295,-0.6204144,-0.12995782,-0.28799903,0.17922945,0.19060376,0.19453946,-0.1767076,0.1071357,-0.14574145,-0.050867654,0.009043091,-0.063425444,0.54140043,0.19398129,-0.150686,-0.5960647,0.09387337,0.013090213,0.28247967,1.1404355,0.18798783,-0.28105348,-0.39242184,0.50206274,-1.678727,-1.0452888,-0.7394245,0.17248541,-0.022211352,0.055806503,-0.04448763,0.69343454,0.05935348,0.047508646,-0.101683706,0.012043063,0.067363635,-0.0012510895,-0.090136506,0.10519441,0.34159493,0.06295803,-0.08697578,-0.10774749,-0.33118916,-0.07206543,0.12361947,0.04303013,0.041803267,-0.24776706,0.055307575,-0.049934547,0.06921294,-0.2918479,-0.06688619,-0.16749687,-0.06848859,0.22633697,0.09903022,-0.13565953,-0.40104353,-0.12549366,0.33809704,0.11409141,0.22540495,0.24768358,0.7525313,0.45475954,-1.8241031,-0.1265837,-0.2856664,-0.004821637,-0.26844585,-1.6026063e-07,-0.80420727,-0.57733595,0.003441092,-0.38546607,0.13833295,-0.17619611,-0.3106765
1,-0.40030622,-0.49994642,-0.37996432,-0.46216553,-0.16743387,0.0921342,-0.12649798,-0.004910903,0.15932196,0.27022803,-0.17620523,-0.41576,-0.31632718,-0.4585426,-0.3881617,0.10490137,-0.05449925,0.11416676,-0.45422885,-0.060683884,-0.039984874,-0.18884782,-0.041967798,-0.09114618,-0.3014211,-0.24127741,-0.11328141,-0.0500602,-0.020545715,0.03823084,-0.006661572,0.19111326,-0.10552144,-0.113064334,0.09318968,0.012649949,-0.20404504,0.33047447,0.40056217,-0.12448663,-0.16174087,0.29822114,-0.47260764,-0.1610078,-0.6963026,0.19632658,-0.12466345,0.0828333,-0.0873108,0.38145158,-0.066154405,0.048994023,-0.1229352,0.06575435,0.07891924,-0.0005861094,-0.19414988,0.16354336,0.25139472,0.3204717,0.2096138,-0.094062895,-0.008020364,-0.04305995,0.07038625,0.11842031,0.051833116,0.07090909,0.049667783,-0.039485376,0.058757838,-0.28987467,-0.06671359,-0.06893453,0.21109559,0.15476793,0.045322042,-0.12317217,-0.19163224,-0.1235416,0.0067830677,0.11183357,0.21298149,0.25433967,1.2370045,0.45325154,-1.8042356,-0.35990053,-0.15029034,-0.03690172,-0.23095883,-4.376413e-08,-0.71861404,-0.014644475,0.05313878,-0.4961303,-0.28147215,-0.2628001,-0.009561623
2,-0.74941725,-0.6593074,-0.54965466,-0.53960913,-0.76831645,0.5016693,1.1793319,-0.24127488,0.28017092,0.20556308,0.5377554,-0.9802924,-0.1826684,0.16301247,-0.36823237,0.12560856,-0.04164974,0.44623074,-1.5907636,0.05096057,-0.027616723,0.5941849,-0.39220488,-0.48306808,0.78581077,-0.77184933,-0.085718066,0.42089853,-0.0012808576,0.08552276,0.32334855,0.091161825,0.11362364,-0.16307624,0.1522475,0.015143779,-0.08552179,0.7585778,0.29407465,-0.31980032,-0.3865173,0.204831,-3.7576716,-3.2336822,-0.80227494,0.11489206,-0.10931789,0.04915113,-0.07003826,0.14273603,-0.552155,0.039834388,-0.13613693,0.14648321,0.08575169,-0.002088249,-0.23255056,0.071887754,0.06865614,0.17560469,0.42612824,-0.15890406,0.3509589,-0.024099596,-0.056786478,0.051658828,0.032431584,0.3805013,0.057441738,-0.10681249,0.08712156,0.20296717,-0.069616154,-0.23874183,-0.023446014,0.09564217,0.06069235,-0.1787985,0.08714303,-0.09329827,-0.28525013,0.10282056,0.24862254,0.29224283,1.9459429,1.0418054,-1.8625894,-0.3533977,-0.1249709,-0.19180806,-0.24525253,-3.9819375e-07,-0.664438,0.7558374,-0.021513345,-1.0319501,0.096205235,-0.041519392,0.3781436
3,-1.1044998,-0.5486626,-0.100355394,-0.5537769,-0.6077383,0.47394425,0.07001638,-0.087556824,0.5786408,0.6798115,-0.2948528,-0.49413943,-0.3024747,0.116469756,-0.7247207,0.10922941,-0.004161457,0.24468991,-0.64308786,0.058282807,-0.32023692,0.11920998,-0.058605455,-0.09797976,-0.35974625,-0.3050961,-0.10538489,-0.07299815,-0.0060536126,-0.030262955,0.35383812,0.15309708,-0.14291383,-0.6516132,0.11229908,0.016607286,0.23458067,0.9998761,0.36799568,-0.39913526,-0.15710382,0.2152082,-1.6206098,-1.0072598,-0.86360484,0.19792762,-0.11167383,0.09385523,-0.08160857,0.44748127,0.24361654,0.05415236,-0.14448969,0.111262895,0.09163833,-0.0011208784,-0.18474673,0.17905022,0.42873365,0.14765029,-0.0051975725,-0.12815765,-0.23837432,-0.08199892,0.1795353,0.015079243,0.05649164,-0.23542072,0.057945002,-0.06523242,0.06809678,-0.2954183,-0.06988992,-0.22316366,0.18048877,0.32778186,0.1076939,-0.15289067,-0.48542127,-0.18499908,-0.0593463,0.16500233,0.24482708,0.2738092,0.83428735,0.6967399,-1.8552046,-0.24763338,-0.41217563,-0.13522628,-0.28296685,3.760742e-08,-0.9463357,-0.5312982,0.003290691,-0.73268294,-0.20602639,-0.48783895,-0.13275102
4,-0.38989916,-0.48878476,-0.3669225,-0.4600129,-0.1500551,0.07485168,-0.14538187,-0.01034446,0.18781525,0.2744486,-0.18619788,-0.43025324,-0.30266613,-0.45932865,-0.40193257,0.10440132,-0.051925577,0.11272915,-0.4499952,-0.068091996,-0.04739546,-0.1911202,-0.02745109,-0.078006454,-0.3003728,-0.2163678,-0.11648009,-0.052135084,-0.019722661,0.034640376,0.0044642803,0.19449818,-0.10934867,-0.1254632,0.09286396,0.01262287,-0.19832143,0.3742821,0.39884412,-0.12652875,-0.1712694,0.31577507,-0.47060454,-0.14708687,-0.7010079,0.19700506,-0.121176384,0.08198633,-0.08561801,0.396485,-0.071493596,0.048945177,-0.12175422,0.06177365,0.07813986,-0.0005869007,-0.19062223,0.16009226,0.2555157,0.31621215,0.2029236,-0.0934531,-0.021926599,-0.043795645,0.07264796,0.11800676,0.05162384,0.058872003,0.04975337,-0.039070606,0.05870063,-0.3023862,-0.06684277,-0.06169106,0.19633463,0.17281926,0.04674148,-0.122391395,-0.19601442,-0.12292905,0.029068362,0.10917604,0.213266,0.25333923,1.2243268,0.43802354,-1.8030709,-0.35331008,-0.1440236,-0.03507871,-0.29007268,-4.6225278e-08,-0.71411103,-0.022676198,0.013761438,-0.50679916,-0.26639798,-0.2635892,-0.025680183
5,-0.98620147,-0.58742845,-0.61725795,-0.53516275,-0.8793209,0.8918557,-2.1641335,-0.55341965,0.5453214,0.2661538,0.930941,-1.1032771,-0.11329349,-0.6458572,-0.74283016,0.19754843,-0.10650575,0.47189766,-1.7638834,-0.031967096,0.113298535,0.13522893,-0.21364293,-0.13606106,-1.1555369,-0.39884555,-0.11126304,0.6122313,-0.072865896,0.17373341,0.47766256,0.06966194,0.0637437,-0.2812715,0.17100199,0.024440551,0.4856512,0.55779296,0.40140495,-0.5182004,-0.33419412,0.22375648,-4.268299,-3.7340453,-0.6091424,0.16423713,-0.1347612,0.074801855,-0.11303292,0.34797072,-0.39431563,0.100140736,-0.17057082,0.06354718,0.11372504,-0.0026458302,-0.22018173,0.12708196,0.15716048,0.060168922,0.48598096,-0.17434035,0.16505302,-0.070309274,0.132543,0.06727995,0.038343355,0.37601838,0.09532592,0.004810828,0.09960297,0.06523297,-0.08306699,-0.0702897,-0.17181769,0.41577336,-0.061186288,-0.19026111,-0.18829113,-0.13066941,-0.2016513,0.15971568,0.25129706,0.3183178,2.0268548,0.76631415,-1.862653,-0.2848284,-0.9565407,-0.20092642,-0.28323278,7.4797214e-07,-0.55313784,0.7480668,0.003528547,-2.0361016,1.0447944,0.57329065,0.4867599
6,-0.36452293,-0.48747024,-0.34396338,-0.43900564,-0.15159316,0.08386041,-0.14493635,-0.026133016,0.18736134,0.27171993,-0.19835167,-0.43451238,-0.29225406,-0.4517728,-0.37841153,0.10358142,-0.04825586,0.113606945,-0.43773812,-0.07168191,-0.04143443,-0.17568068,0.0039635487,-0.057756998,-0.29868498,-0.18926421,-0.12165292,-0.054128956,-0.018806027,0.030499293,-0.0001648037,0.19727781,-0.1024921,-0.12133641,0.0924425,0.012554215,-0.1838037,0.4561242,0.39624834,-0.1172146,-0.1732768,0.33285713,-0.49743086,-0.16036293,-0.68862087,0.19739304,-0.11687481,0.080295056,-0.082915306,0.42420945,-0.094923474,0.048810117,-0.120104514,0.057148077,0.07688532,-0.0005872221,-0.18512216,0.14857094,0.25714603,0.30924314,0.1914433,-0.09248784,-0.02710735,-0.044480987,0.068294734,0.11565059,0.051075555,0.044180986,0.04967275,-0.03923137,0.058101263,-0.30896705,-0.06693062,-0.049517814,0.18992104,0.16008209,0.048719883,-0.12153929,-0.213505,-0.12200407,0.060985647,0.1032722,0.21092711,0.24974813,1.2454667,0.42804584,-1.7996538,-0.34377396,-0.13027409,0.048256934,-0.23095085,-6.850424e-08,-0.6937053,-0.032023113,0.012255996,-0.50350964,-0.24469586,-0.25499928,-0.050097782
7,-0.6991418,-0.79042166,-0.9790696,-0.6950927,-0.21991903,0.10110271,0.2439964,0.21186535,0.20670377,0.36935017,-0.11746155,-0.5900443,-0.66259545,-0.59021455,-0.66674775,0.13187963,-0.10753171,0.1656113,-0.7077358,-0.024678648,-0.17331904,-0.3583897,-0.4903183,-0.34800303,-0.21475556,-0.6601142,-0.071747735,-0.053323593,-0.028409934,0.100942895,0.19733913,0.12602407,-0.16682142,-0.027118836,0.11660631,0.014388796,-0.32388964,-0.44197536,0.4506729,-0.23672551,-0.254208,-0.021115698,-1.1540389,-0.816692,-0.9964253,0.16511746,-0.172626,0.102633454,-0.12512444,0.034309357,0.09444591,0.054029558,-0.15443468,0.12787572,0.10213213,-0.00094824296,-0.27399418,0.32320115,0.21255954,0.34012732,0.49485335,-0.12715966,-0.099949226,-0.034261413,0.12791216,0.17099105,0.058326226,0.31409705,0.054958902,-0.055699095,0.08003586,-0.29416788,-0.07197864,-0.3273522,0.2957933,0.24021709,0.02634939,-0.1548256,-0.0009284152,-0.12851457,-0.5077188,0.21516584,0.24571005,0.31005004,1.705745,0.7774104,-1.8513796,-0.11825371,-0.3236268,-0.16897473,-0.25812525,9.0214265e-08,-0.9262913,0.21974686,0.036883216,-0.40915763,-0.57138085,-0.44052273,0.32658547
8,-0.83831006,-0.66697747,-0.506691,-0.5662203,-0.28337657,0.27550784,-2.0943027,-0.239668,0.5564335,0.38889816,0.2777286,-0.7992638,-0.301081,-0.95103174,-0.74101347,0.15001817,-0.09812754,0.25836366,-0.9000505,-0.12949224,-0.02463071,-0.5531916,-0.08377022,0.04056047,-0.72645515,-0.26117277,-0.16733971,0.09134914,-0.009948115,0.09853972,0.2920549,0.2054754,-0.1278399,-0.18075994,0.11077414,0.015935557,0.22624436,0.42137486,0.36162788,-0.23651622,-0.3731938,0.25144666,-1.7417418,-1.1801589,-0.92074096,0.22806242,-0.102219336,0.08143857,-0.11198849,0.3353696,0.25213954,0.07803056,-0.13985051,0.0862834,0.09816227,-0.0016847082,-0.17911543,0.2579868,0.36262578,0.19369406,0.17305076,-0.13382584,-0.20463094,-0.05336673,0.088988416,0.17136675,0.053274803,0.11773679,0.058959134,0.012399031,0.09683277,-0.421372,-0.076464176,0.07365959,-0.05738314,0.27023908,-0.040786516,-0.15714984,-0.35098726,-0.11787546,0.08126651,0.18894763,0.23662739,0.3115879,1.47248,0.5078866,-1.825396,-0.40905827,-0.111477315,-0.15652809,-0.29929838,5.9265776e-08,-1.1477538,0.31609333,0.05566889,-0.1434964,-1.1643181,-0.088822685,0.24230699
9,-0.39040542,-0.48526573,-0.36618558,-0.4539585,-0.163535,0.08678188,-0.14615004,-0.0105366735,0.18163194,0.2749549,-0.18758444,-0.42956513,-0.30832177,-0.45298335,-0.39548814,0.103753105,-0.05109167,0.112499975,-0.4484283,-0.06457736,-0.047753565,-0.18168364,-0.024622483,-0.07331003,-0.29849583,-0.21363412,-0.11521455,-0.054091558,-0.01952821,0.03435536,0.01209285,0.18951862,-0.10561703,-0.12201163,0.09268893,0.012613319,-0.18685368,0.37587082,0.38656574,-0.124556,-0.16813068,0.30199453,-0.52535164,-0.19640118,-0.698086,0.19396783,-0.11960402,0.08118187,-0.084773175,0.38539466,-0.06984533,0.04883105,-0.12110318,0.061918903,0.07771899,-0.0005943115,-0.18824737,0.15866327,0.25308618,0.3110514,0.20042947,-0.09307724,-0.027440874,-0.043776393,0.07178697,0.11491672,0.05116055,0.05562169,0.049305,-0.039055876,0.05841817,-0.2922506,-0.06643147,-0.060889248,0.19331928,0.16547172,0.046556186,-0.12253898,-0.1975353,-0.1221169,0.025800029,0.10860262,0.21233504,0.25187004,1.2131686,0.44253972,-1.801128,-0.34912547,-0.1426926,-0.03429765,-0.23100533,-4.2034657e-08,-0.7073846,-0.021763803,0.013325067,-0.509797,-0.26426384,-0.2528365,-0.02933883
